GenBank Assembly ID (Accession.version)	GenBank release ID	RefSeq Assembly ID (Accession.version)	RefSeq release ID 	
GCA_024586905.1	35109228	GCF_024586905.1	35136558	
GCA_024592655.1	35114958	GCF_024592655.1	35166138	
GCA_024600715.1	35124858	GCF_024600715.1	35165938	
GCA_024611995.1	35139428	GCF_024611995.1	35189498	
GCA_024612015.1	35139448	GCF_024612015.1	35189478	
GCA_024612035.1	35139468	GCF_024612035.1	35189558	
GCA_024648905.1	35186658	GCF_024648905.1	35198038	
GCA_024666385.1	35211288	GCF_024666385.1	35256728	
GCA_024701375.2	38918018	GCF_024701375.2	38937758	
GCA_024721315.2	39807788	GCF_024721315.2	42462928	
GCA_024721345.1	35276498	GCF_024721345.1	36418388	
GCA_024742195.1	35309608	GCF_024742195.1	35320288	
GCA_024752535.1	35326368	GCF_024752535.1	35341648	
GCA_024753135.1	35327248	GCF_024753135.1	35341668	
GCA_024756275.1	35330388	GCF_024756275.1	35341708	
GCA_024761905.1	35339158	GCF_024761905.1	35669588	
GCA_024927965.1	35527848	GCF_024927965.1	35610008	
GCA_025153975.1	35804578	GCF_025153975.1	35896278	
GCA_025163575.1	35814168	GCF_025163575.1	35925178	
GCA_025165795.1	35816388	GCF_025165795.1	35925158	
GCA_025195125.1	35847578	GCF_025195125.1	35925678	
GCA_025231465.1	35948668	GCF_025231465.1	36015768	
GCA_025252265.1	36008728	GCF_025252265.1	36066818	
GCA_025271315.1	36038278	GCF_025271315.1	36121548	
GCA_025290915.1	36059678	GCF_025290915.1	36121608	
GCA_025398775.1	36230608	GCF_025398775.1	36345138	
GCA_025399755.1	36238388	GCF_025399755.1	36344918	
GCA_025399765.1	36238438	GCF_025399765.1	36344958	
GCA_025399775.1	36238408	GCF_025399775.1	36345738	
GCA_025399795.1	36238448	GCF_025399795.1	36345258	
GCA_025399895.1	36238568	GCF_025399895.1	36345358	
GCA_025402955.1	36269668	GCF_025402955.1	36345418	
GCA_025427835.1	36298498	GCF_025427835.1	36338388	
GCA_025517595.1	36445638	GCF_025517595.1	36558708	
GCA_025568765.1	36500178	GCF_025568765.1	36547138	
GCA_025630915.1	36596728	GCF_025630915.1	36614448	
GCA_025642135.1	36615588	GCF_025642135.1	36666568	
GCA_025642155.1	36615608	GCF_025642155.1	36666428	
GCA_025642175.1	36615628	GCF_025642175.1	36667048	
GCA_025643355.1	36617078	GCF_025643355.1	36666108	
GCA_025655475.1	36629318	GCF_025655475.1	36660668	
GCA_025656915.1	36630778	GCF_025656915.1	36666608	
GCA_025665295.1	36639198	GCF_025665295.1	36666948	
GCA_025716995.1	36717008	GCF_025716995.1	36751778	
GCA_025854275.1	36942088	GCF_025854275.1	37005818	
GCA_025908395.1	37010898	GCF_025908395.1	37086668	
GCA_025909865.1	37015838	GCF_025909865.1	37082358	
GCA_025957665.1	37110628	GCF_025957665.1	37134648	
GCA_025964845.1	37118078	GCF_025964845.1	41759518	
GCA_026008495.1	37172398	GCF_026008495.1	37269318	
GCA_026126445.1	37321428	GCF_026126445.1	37356888	
GCA_026153095.1	37359168	GCF_026153095.1	37468978	
GCA_026153355.1	37359428	GCF_026153355.1	37387568	
GCA_026162525.1	37368628	GCF_026162525.1	37436118	
GCA_026167665.1	37373808	GCF_026167665.1	37436158	
GCA_026168105.1	37374248	GCF_026168105.1	37436318	
GCA_026183975.1	37391618	GCF_026183975.1	37486538	
GCA_026184015.1	37391658	GCF_026184015.1	37487378	
GCA_026191925.1	37405778	GCF_026191925.1	37487358	
GCA_026210455.1	37436518	GCF_026210455.1	37486978	
GCA_026229605.1	37465388	GCF_026229605.1	37520618	
GCA_026239515.1	37489538	GCF_026239515.1	37520718	
GCA_026239535.1	37489558	GCF_026239535.1	37521638	
GCA_026242095.1	37492358	GCF_026242095.1	37580108	
GCA_026262575.1	37511568	GCF_026262575.1	37579288	
GCA_026274175.1	37539708	GCF_026274175.1	37691968	
GCA_026275385.1	37540858	GCF_026275385.1	37689648	
GCA_026339475.1	37608338	GCF_026339475.1	37689788	
GCA_026339515.1	37608368	GCF_026339515.1	37689708	
GCA_026339555.1	37608408	GCF_026339555.1	37689588	
GCA_026339575.1	37608428	GCF_026339575.1	37692048	
GCA_026339595.1	37608448	GCF_026339595.1	37689468	
GCA_026339615.1	37608468	GCF_026339615.1	37691588	
GCA_026339635.1	37608488	GCF_026339635.1	37692848	
GCA_026339655.1	37608508	GCF_026339655.1	37691268	
GCA_026339675.1	37608528	GCF_026339675.1	37690188	
GCA_026339695.1	37608558	GCF_026339695.1	37690228	
GCA_026339735.1	37608588	GCF_026339735.1	37691908	
GCA_026339775.1	37608628	GCF_026339775.1	37690168	
GCA_026339795.1	37608688	GCF_026339795.1	37690388	
GCA_026339815.1	37608708	GCF_026339815.1	37690208	
GCA_026339835.1	37608698	GCF_026339835.1	37690968	
GCA_026339875.1	37608728	GCF_026339875.1	37691368	
GCA_026339895.1	37608748	GCF_026339895.1	37689508	
GCA_026339915.1	37608768	GCF_026339915.1	37691508	
GCA_026339935.1	37608788	GCF_026339935.1	37691848	
GCA_026339955.1	37608808	GCF_026339955.1	37691308	
GCA_026339975.1	37608828	GCF_026339975.1	37691288	
GCA_026339995.1	37608848	GCF_026339995.1	37691088	
GCA_026340005.1	37608868	GCF_026340005.1	37692628	
GCA_026340025.1	37608888	GCF_026340025.1	37689808	
GCA_026340055.1	37608908	GCF_026340055.1	37690468	
GCA_026340075.1	37608928	GCF_026340075.1	37691328	
GCA_026340095.1	37608948	GCF_026340095.1	37691168	
GCA_026340105.1	37608968	GCF_026340105.1	37691548	
GCA_026340135.1	37608988	GCF_026340135.1	37692868	
GCA_026340175.1	37609028	GCF_026340175.1	37692168	
GCA_026340255.1	37609108	GCF_026340255.1	37691808	
GCA_026340265.1	37609128	GCF_026340265.1	37688328	
GCA_026340285.1	37609158	GCF_026340285.1	37689748	
GCA_026340305.1	37609168	GCF_026340305.1	37691688	
GCA_026340395.1	37609248	GCF_026340395.1	37691048	
GCA_026340455.1	37609368	GCF_026340455.1	37690308	
GCA_026340465.1	37609338	GCF_026340465.1	37691668	
GCA_026340475.1	37609348	GCF_026340475.1	37689428	
GCA_026340565.1	37609428	GCF_026340565.1	37688128	
GCA_026340595.1	37609448	GCF_026340595.1	37691028	
GCA_026340655.1	37609568	GCF_026340655.1	37690988	
GCA_026340665.1	37609558	GCF_026340665.1	37690408	
GCA_026340675.1	37609588	GCF_026340675.1	37691708	
GCA_026340775.1	37609648	GCF_026340775.1	37687948	
GCA_026340815.1	37609728	GCF_026340815.1	37691488	
GCA_026340825.1	37609768	GCF_026340825.1	37691008	
GCA_026340885.1	37609808	GCF_026340885.1	37691748	
GCA_026340925.1	37609798	GCF_026340925.1	37691448	
GCA_026340975.1	37609848	GCF_026340975.1	37691228	
GCA_026341035.1	37609948	GCF_026341035.1	37691388	
GCA_026341115.1	37610048	GCF_026341115.1	37691348	
GCA_026341125.1	37610068	GCF_026341125.1	37691148	
GCA_026341135.1	37610058	GCF_026341135.1	37690428	
GCA_026341275.1	37610178	GCF_026341275.1	37692728	
GCA_026341295.1	37610208	GCF_026341295.1	37691768	
GCA_026341425.1	37610288	GCF_026341425.1	37692468	
GCA_026341515.1	37610368	GCF_026341515.1	37691108	
GCA_026341545.1	37610388	GCF_026341545.1	37691568	
GCA_026341595.1	37610448	GCF_026341595.1	37694148	
GCA_026341695.1	37610548	GCF_026341695.1	37691248	
GCA_026341715.1	37610568	GCF_026341715.1	37689488	
GCA_026341775.1	37610628	GCF_026341775.1	37691788	
GCA_026341795.1	37610648	GCF_026341795.1	37691468	
GCA_026341815.1	37610678	GCF_026341815.1	37691728	
GCA_026341825.1	37610688	GCF_026341825.1	37691068	
GCA_026341855.1	37610708	GCF_026341855.1	37691648	
GCA_026341875.1	37610728	GCF_026341875.1	37691828	
GCA_026341895.1	37610748	GCF_026341895.1	37692308	
GCA_026341945.1	37610828	GCF_026341945.1	37690448	
GCA_026341955.1	37610818	GCF_026341955.1	37691128	
GCA_026341995.1	37610848	GCF_026341995.1	37691208	
GCA_026342055.1	37610908	GCF_026342055.1	37691528	
GCA_026342075.1	37610948	GCF_026342075.1	37691428	
GCA_026342085.1	37610928	GCF_026342085.1	37691888	
GCA_026342115.1	37610968	GCF_026342115.1	37691408	
GCA_026342135.1	37610988	GCF_026342135.1	37691948	
GCA_026342175.1	37611028	GCF_026342175.1	37692768	
GCA_026342195.1	37611048	GCF_026342195.1	37692248	
GCA_026342205.1	37611068	GCF_026342205.1	37692388	
GCA_026342235.1	37611088	GCF_026342235.1	37692028	
GCA_026342255.1	37611108	GCF_026342255.1	37692548	
GCA_026342275.1	37611138	GCF_026342275.1	37692008	
GCA_026342285.1	37611158	GCF_026342285.1	37689688	
GCA_026342305.1	37611168	GCF_026342305.1	37690128	
GCA_026342335.1	37611188	GCF_026342335.1	37692108	
GCA_026342355.1	37611228	GCF_026342355.1	37693688	
GCA_026342365.1	37611218	GCF_026342365.1	37692228	
GCA_026342395.1	37611248	GCF_026342395.1	37692408	
GCA_026342405.1	37611268	GCF_026342405.1	37688368	
GCA_026342435.1	37611288	GCF_026342435.1	37692068	
GCA_026342455.1	37611308	GCF_026342455.1	37690368	
GCA_026342475.1	37611368	GCF_026342475.1	37689608	
GCA_026342495.1	37611408	GCF_026342495.1	37692588	
GCA_026342575.1	37611428	GCF_026342575.1	37692808	
GCA_026342595.1	37611458	GCF_026342595.1	37692488	
GCA_026342605.1	37611468	GCF_026342605.1	37692148	
GCA_026342695.1	37611568	GCF_026342695.1	37692368	
GCA_026342735.1	37611608	GCF_026342735.1	37692568	
GCA_026342745.1	37611628	GCF_026342745.1	37692528	
GCA_026342795.1	37611668	GCF_026342795.1	37692328	
GCA_026342835.1	37611728	GCF_026342835.1	37692648	
GCA_026342895.1	37611788	GCF_026342895.1	37690108	
GCA_026342945.1	37611808	GCF_026342945.1	37692428	
GCA_026342975.1	37611848	GCF_026342975.1	37692668	
GCA_026343035.1	37611898	GCF_026343035.1	37692688	
GCA_026343055.1	37611928	GCF_026343055.1	37692508	
GCA_026343115.1	37612008	GCF_026343115.1	37692128	
GCA_026343125.1	37612048	GCF_026343125.1	37692788	
GCA_026343185.1	37612098	GCF_026343185.1	37692748	
GCA_026343255.1	37612128	GCF_026343255.1	37692448	
GCA_026343295.1	37612148	GCF_026343295.1	37692828	
GCA_026343335.1	37612188	GCF_026343335.1	37692288	
GCA_026343345.1	37612208	GCF_026343345.1	37692088	
GCA_026343375.1	37612318	GCF_026343375.1	37692208	
GCA_026343385.1	37612348	GCF_026343385.1	37692908	
GCA_026343435.1	37612338	GCF_026343435.1	37692268	
GCA_026343535.1	37612398	GCF_026343535.1	37692708	
GCA_026343545.1	37612408	GCF_026343545.1	37691988	
GCA_026343615.1	37612468	GCF_026343615.1	37692188	
GCA_026343635.1	37612538	GCF_026343635.1	37692348	
GCA_026343645.1	37612528	GCF_026343645.1	37690348	
GCA_026343715.1	37612578	GCF_026343715.1	37690268	
GCA_026343795.1	37612648	GCF_026343795.1	37692888	
GCA_026344195.1	37613048	GCF_026344195.1	37690248	
GCA_026420845.1	37712118	GCF_026420845.1	37820288	
GCA_026427415.1	37748698	GCF_026427415.1	37861738	
GCA_026622885.1	37964748	GCF_026622885.1	38080458	
GCA_026626005.1	37967968	GCF_026626005.1	38081438	
GCA_026627185.1	37974478	GCF_026627185.1	38082358	
GCA_026627225.1	37974538	GCF_026627225.1	38081058	
GCA_026627245.1	37974618	GCF_026627245.1	38080518	
GCA_026627255.1	37974608	GCF_026627255.1	38080478	
GCA_026627445.1	37974838	GCF_026627445.1	38081548	
GCA_026627485.1	37974898	GCF_026627485.1	38081618	
GCA_026627505.1	37974938	GCF_026627505.1	38080998	
GCA_026635925.1	38011678	GCF_026635925.1	38186818	
GCA_026636035.1	38011808	GCF_026636035.1	38187838	
GCA_026642235.1	38023948	GCF_026642235.1	38187858	
GCA_026651955.1	38034358	GCF_026651955.1	38234118	
GCA_026672605.1	38056278	GCF_026672605.1	38232518	
GCA_026800165.1	38265428	GCF_026800165.1	38348468	
GCA_026802215.1	38267648	GCF_026802215.1	38340088	
GCA_026810505.1	38323198	GCF_026810505.1	38402678	
GCA_026898115.1	38428198	GCF_026898115.1	38537838	
GCA_026913165.1	38449518	GCF_026913165.1	38537318	
GCA_026965885.1	38538588	GCF_026965885.1	38591018	
GCA_027107535.1	38730168	GCF_027107535.1	38820768	
GCA_027157945.1	38782458	GCF_027157945.1	38865258	
GCA_027158125.1	38782668	GCF_027158125.1	38861758	
GCA_027158205.1	38782778	GCF_027158205.1	38861658	
GCA_027270315.1	38938098	GCF_027270315.1	39152858	
GCA_027270795.1	38938578	GCF_027270795.1	39152758	
GCA_027270915.1	38938698	GCF_027270915.1	39152678	
GCA_027270975.1	38938758	GCF_027270975.1	39152598	
GCA_027460205.1	39127818	GCF_027460205.1	39181018	
GCA_027460245.1	39127848	GCF_027460245.1	39181058	
GCA_027460265.1	39127868	GCF_027460265.1	39180998	
GCA_027497195.1	39182518	GCF_027497195.1	42539208	
GCA_027497475.1	39182978	GCF_027497475.1	39184938	
GCA_027497495.1	39182998	GCF_027497495.1	39184918	
GCA_027533845.1	39221378	GCF_027533845.1	39256928	
GCA_027570385.1	39260848	GCF_027570385.1	39268398	
GCA_027625935.1	39342818	GCF_027625935.1	39489328	
GCA_027626975.1	39343858	GCF_027626975.1	41861438	
GCA_027627435.1	39344588	GCF_027627435.1	39499518	
GCA_027920075.1	39770558	GCF_027920075.1	39808348	
GCA_027921905.1	39809048	GCF_027921905.1	39833438	
GCA_027925645.1	39812788	GCF_027925645.1	42571158	
GCA_027925665.1	39812828	GCF_027925665.1	42574078	
GCA_027942015.1	39875518	GCF_027942015.1	39889618	
GCA_027947535.2	42650228	GCF_027947535.2	42708798	
GCA_027947545.2	42650248	GCF_027947545.2	42708758	
GCA_027947595.1	39894098	GCF_027947595.1	40171448	
GCA_028198125.1	40183808	GCF_028198125.1	40193928	
GCA_028200735.1	40187088	GCF_028200735.1	40216748	
GCA_028369295.1	40397168	GCF_028369295.1	40481768	
GCA_028401405.1	40438218	GCF_028401405.1	40514188	
GCA_028401765.1	40438668	GCF_028401765.1	40514208	
GCA_028421465.1	40483788	GCF_028421465.1	40534898	
GCA_028464045.1	40549178	GCF_028464045.1	40651238	
GCA_028473745.1	40586648	GCF_028473745.1	40651058	
GCA_028622875.1	40781398	GCF_028622875.1	40910918	
GCA_028657195.3	42839408	GCF_028657195.3	42882208	
GCA_028747205.1	40942108	GCF_028747205.1	40964518	
GCA_028752555.1	40948228	GCF_028752555.1	41017888	
GCA_028753175.1	40949038	GCF_028753175.1	41018168	
GCA_028803355.1	41001608	GCF_028803355.1	41062478	
GCA_028807615.1	41005878	GCF_028807615.1	41062878	
GCA_028807635.1	41005888	GCF_028807635.1	41062698	
GCA_028863365.1	41075278	GCF_028863365.1	41100058	
GCA_028870195.1	41082348	GCF_028870195.1	41099718	
GCA_028885415.1	41102778	GCF_028885415.1	41110268	
GCA_028898845.1	41123248	GCF_028898845.1	41170548	
GCA_029011865.1	41242848	GCF_029011865.1	41421128	
GCA_029125965.1	41360638	GCF_029125965.1	41421448	
GCA_029167005.1	41428748	GCF_029167005.1	41429988	
GCA_029167025.1	41428768	GCF_029167025.1	41430008	
GCA_029167585.1	41429768	GCF_029167585.1	41431808	
GCA_029167625.1	41429808	GCF_029167625.1	41432948	
GCA_029167645.1	41429828	GCF_029167645.1	41430968	
GCA_029223485.1	41489628	GCF_029223485.1	41509318	
GCA_029223525.1	41489668	GCF_029223525.1	41509618	
GCA_029269095.1	41540178	GCF_029269095.1	41561548	
GCA_029269835.1	41541698	GCF_029269835.1	41596198	
GCA_029269905.1	41541738	GCF_029269905.1	41595978	
GCA_029351045.1	41638328	GCF_029351045.1	41681308	
GCA_029392895.1	41692908	GCF_029392895.1	41782678	
GCA_029428675.1	41728838	GCF_029428675.1	41782698	
GCA_029428735.1	41728898	GCF_029428735.1	41782578	
GCA_029428875.1	41729038	GCF_029428875.1	41782718	
GCA_029504575.1	41835418	GCF_029504575.1	41870098	
GCA_029541745.1	41882478	GCF_029541745.1	41923778	
GCA_029542005.1	41882738	GCF_029542005.1	41923538	
GCA_029617805.1	41977488	GCF_029617805.1	41985458	
GCA_029759795.1	42156238	GCF_029759795.1	42168808	
GCA_029760955.1	42161148	GCF_029760955.1	42168828	
GCA_029813775.1	42216108	GCF_029813775.1	42248048	
GCA_029813785.1	42216128	GCF_029813785.1	42248148	
GCA_029813805.1	42216138	GCF_029813805.1	42248028	
GCA_029813835.1	42216158	GCF_029813835.1	42248068	
GCA_029813855.1	42216178	GCF_029813855.1	42248168	
GCA_029846675.1	42257658	GCF_029846675.1	42280278	
GCA_029846775.1	42257768	GCF_029846775.1	42276498	
GCA_029854115.1	42267818	GCF_029854115.1	42280298	
GCA_029866785.1	42298498	GCF_029866785.1	42305478	
GCA_029892095.1	42367968	GCF_029892095.1	42390398	
GCA_029892105.1	42367928	GCF_029892105.1	42390458	
GCA_029892145.1	42367978	GCF_029892145.1	42390478	
GCA_029892155.1	42367998	GCF_029892155.1	42390438	
GCA_029892265.1	42368098	GCF_029892265.1	42393178	
GCA_029892465.1	42368298	GCF_029892465.1	42393198	
GCA_029892565.1	42368398	GCF_029892565.1	42393218	
GCA_029893355.1	42369208	GCF_029893355.1	42390758	
GCA_029893585.1	42369418	GCF_029893585.1	42393258	
GCA_029893625.1	42369478	GCF_029893625.1	42393378	
GCA_029893805.1	42369638	GCF_029893805.1	42393278	
GCA_029893855.1	42369708	GCF_029893855.1	42393098	
GCA_029893905.1	42369738	GCF_029893905.1	42393298	
GCA_029893925.1	42369758	GCF_029893925.1	42393118	
GCA_029894045.1	42369878	GCF_029894045.1	42393398	
GCA_029894125.1	42369958	GCF_029894125.1	42390418	
GCA_029894145.1	42369978	GCF_029894145.1	42393418	
GCA_029894325.1	42370168	GCF_029894325.1	42393338	
GCA_029894335.1	42370178	GCF_029894335.1	42390138	
GCA_029894355.1	42370208	GCF_029894355.1	42393138	
GCA_029894375.1	42370218	GCF_029894375.1	42393358	
GCA_029894405.1	42370238	GCF_029894405.1	42393318	
GCA_029894425.1	42370258	GCF_029894425.1	42393158	
GCA_029906565.1	42393058	GCF_029906565.1	42396398	
GCA_029910965.1	42399108	GCF_029910965.1	42439838	
GCA_029946625.1	42461408	GCF_029946625.1	42517508	
GCA_029953285.1	42529028	GCF_029953285.1	42535218	
GCA_029958285.1	42535138	GCF_029958285.1	42642718	
GCA_029961205.1	42541148	GCF_029961205.1	42642798	
GCA_029967545.1	42551818	GCF_029967545.1	42657728	
GCA_029967595.1	42551878	GCF_029967595.1	42656808	
GCA_029967605.1	42551898	GCF_029967605.1	42657568	
GCA_029968015.1	42552338	GCF_029968015.1	42657508	
GCA_029968035.1	42552358	GCF_029968035.1	42657548	
GCA_029968095.1	42552418	GCF_029968095.1	42656688	
GCA_030010495.1	42651608	GCF_030010495.1	42708698	
GCA_030010595.1	42651688	GCF_030010595.1	42716408	
GCA_030010605.1	42651718	GCF_030010605.1	42708778	
GCA_030010625.1	42651728	GCF_030010625.1	42708738	
GCA_030010655.1	42651748	GCF_030010655.1	42708648	
GCA_030010675.1	42651768	GCF_030010675.1	42708678	
GCA_030011775.1	42660688	GCF_030011775.1	42739018	
GCA_030016275.1	42670918	GCF_030016275.1	42739638	
GCA_030027225.1	42731338	GCF_030027225.1	42775558	
GCA_030028615.1	42746028	GCF_030028615.1	42779268	
GCA_030028635.1	42746048	GCF_030028635.1	42798048	
GCA_030056425.1	42803148	GCF_030056425.1	42813578	
GCA_030056615.1	42803348	GCF_030056615.1	42813618	
GCA_030063135.1	42812218	GCF_030063135.1	42841608	
GCA_030063325.1	42812448	GCF_030063325.1	42842048	
GCA_030063355.1	42812438	GCF_030063355.1	42841628	
GCA_030063415.1	42812498	GCF_030063415.1	42842068	
GCA_030077645.1	42878498	GCF_030077645.1	42939078	
GCA_030116705.1	42923308	GCF_030116705.1	42934558	
GCA_030122705.1	42933478	GCF_030122705.1	42939058	
GCA_030124145.1	42941078	GCF_030124145.1	42944678	
GCA_030124175.1	42941088	GCF_030124175.1	42944758	
GCA_030135485.1	42955078	GCF_030135485.1	43012728	
GCA_030158795.1	43070408	GCF_030158795.1	43145868	
GCA_030159695.1	43071568	GCF_030159695.1	43152648	
GCA_030167965.1	43202098	GCF_030167965.1	43242768	
GCA_030238025.1	43282308	GCF_030238025.1	43434408	
GCA_030262575.1	43307998	GCF_030262575.1	43438988	
GCA_030268605.1	43314058	GCF_030268605.1	43441568	
GCA_030268625.1	43314078	GCF_030268625.1	43444648	
GCA_030268665.1	43314118	GCF_030268665.1	43443948	
GCA_030268705.1	43314158	GCF_030268705.1	43441868	
GCA_030268805.1	43314258	GCF_030268805.1	43442288	
GCA_030268825.1	43314278	GCF_030268825.1	43453108	
GCA_030268885.1	43314338	GCF_030268885.1	43453908	
GCA_030269025.1	43314478	GCF_030269025.1	43444988	
GCA_030269045.1	43314498	GCF_030269045.1	43445288	
GCA_030269125.1	43314578	GCF_030269125.1	43445508	
GCA_030270785.1	43316118	GCF_030270785.1	43445788	
GCA_030286025.1	43483738	GCF_030286025.1	43645228	
GCA_030287445.1	43516908	GCF_030287445.1	43683418	
GCA_030291795.1	43562418	GCF_030291795.1	43760658	
GCA_030294945.1	43582808	GCF_030294945.1	43795578	
GCA_900079405.3	3742508	GCF_900079405.2	3743188	
GCA_900079415.1	3219668	GCF_900079415.1	4893188	
GCA_900090065.1	3343508	GCF_900090065.1	4892748	
GCA_900090075.1	3343708	GCF_900090075.1	4892768	
GCA_900090085.1	3343848	GCF_900090085.1	4893368	
GCA_900090095.1	3430668	GCF_900090095.1	4892548	
GCA_900090115.1	3635368	GCF_900090115.1	4893308	
GCA_900090125.1	3430708	GCF_900090125.1	3904838	
GCA_900090135.1	3635988	GCF_900090135.1	4893848	
GCA_900090145.1	3430688	GCF_900090145.1	3904738	
GCA_900091315.1	3327958	GCF_900091315.1	4892948	
GCA_900091485.1	3429848	GCF_900091485.1	4892348	
GCA_900091715.1	3386088	GCF_900091715.1	4892208	
GCA_900091725.1	3385788	GCF_900091725.1	4892128	
GCA_900091745.1	3385868	GCF_900091745.1	4892988	
GCA_900091755.1	3385848	GCF_900091755.1	4893428	
GCA_900091765.1	3385808	GCF_900091765.1	4892088	
GCA_900091775.1	3386108	GCF_900091775.1	4892828	
GCA_900091785.1	3386008	GCF_900091785.1	4892168	
GCA_900091815.1	3386308	GCF_900091815.1	4892288	
GCA_900091825.1	3386348	GCF_900091825.1	4893608	
GCA_900091835.1	3385948	GCF_900091835.1	4893468	
GCA_900091845.1	3386048	GCF_900091845.1	4893528	
GCA_900091855.1	3385968	GCF_900091855.1	4893048	
GCA_900091865.1	3386168	GCF_900091865.1	4893108	
GCA_900091875.1	3386188	GCF_900091875.1	4893148	
GCA_900091885.1	3386248	GCF_900091885.1	4893568	
GCA_900091905.1	3396958	GCF_900091905.1	4892268	
GCA_900091955.1	3430108	GCF_900091955.1	4893828	
GCA_900091975.1	3430088	GCF_900091975.1	4893808	
GCA_900091985.1	3430168	GCF_900091985.1	4892788	
GCA_900091995.1	3430148	GCF_900091995.1	4892468	
GCA_900092005.1	3430048	GCF_900092005.1	4891548	
GCA_900092015.1	3430128	GCF_900092015.1	4892908	
GCA_900095575.1	3429788	GCF_900095575.1	4893168	
GCA_900100315.1	3637228	GCF_900100315.1	4892408	
GCA_900101585.1	3634078	GCF_900101585.1	3914138	
GCA_900101975.1	3629268	GCF_900101975.1	4893208	
GCA_900102095.1	3636208	GCF_900102095.1	4892368	
GCA_900102245.1	3635228	GCF_900102245.1	4892588	
GCA_900103455.1	3637248	GCF_900103455.1	4892648	
GCA_900103585.1	3638328	GCF_900103585.1	4893868	
GCA_900103985.1	3632878	GCF_900103985.1	4893248	
GCA_900104815.1	3643908	GCF_900104815.1	3914158	
GCA_900104865.1	3642598	GCF_900104865.1	4891748	
GCA_900104935.1	3638788	GCF_900104935.1	4891628	
GCA_900105235.1	3640418	GCF_900105235.1	4893388	
GCA_900105245.1	3641158	GCF_900105245.1	4891708	
GCA_900105265.1	3640218	GCF_900105265.1	4892488	
GCA_900105275.1	3640578	GCF_900105275.1	4893668	
GCA_900105395.1	3638708	GCF_900105395.1	4893648	
GCA_900105415.1	3643018	GCF_900105415.1	4893708	
GCA_900105465.1	3643578	GCF_900105465.1	4893068	
GCA_900105515.1	3642318	GCF_900105515.1	4892868	
GCA_900105525.1	3641458	GCF_900105525.1	4892568	
GCA_900105605.1	3640278	GCF_900105605.1	4892848	
GCA_900105695.1	3640558	GCF_900105695.1	4891648	
GCA_900105705.1	3642158	GCF_900105705.1	3914358	
GCA_900105755.1	3643518	GCF_900105755.1	4891868	
GCA_900105775.1	3642898	GCF_900105775.1	4891808	
GCA_900105915.1	3640938	GCF_900105915.1	4892508	
GCA_900107965.1	6008158	GCF_900107965.1	6012138	
GCA_900109465.1	3697328	GCF_900109465.1	3914218	
GCA_900110255.1	3693388	GCF_900110255.1	3914278	
GCA_900110735.1	3695988	GCF_900110735.1	4892628	
GCA_900110755.1	3700068	GCF_900110755.1	4893228	
GCA_900111245.1	3697208	GCF_900111245.1	3914198	
GCA_900112355.1	3706148	GCF_900112355.1	4893508	
GCA_900112845.1	3702348	GCF_900112845.1	4892888	
GCA_900112965.1	3706808	GCF_900112965.1	3914378	
GCA_900114215.1	3706688	GCF_900114215.1	4893588	
GCA_900114955.1	3700468	GCF_900114955.1	4893268	
GCA_900116145.1	3709288	GCF_900116145.1	4893548	
GCA_900116325.1	3710448	GCF_900116325.1	4893988	
GCA_900119365.1	3747608	GCF_900119365.1	3818748	
GCA_900129855.1	4218638	GCF_900129855.1	4237168	
GCA_900142575.1	3776748	GCF_900142575.1	3845998	
GCA_900142595.1	3778228	GCF_900142595.1	3845278	
GCA_900171555.1	4417718	GCF_900171555.1	4425478	
GCA_900177255.1	4390128	GCF_900177255.1	4404478	
GCA_900182715.1	42659818	GCF_900182715.1	42831628	
GCA_900187385.1	4646418	GCF_900187385.1	4666478	
GCA_900187925.1	4632858	GCF_900187925.1	4637088	
GCA_900188405.1	4725438	GCF_900188405.1	4787908	
GCA_900199205.1	5213098	GCF_900199205.1	5302458	
GCA_900206255.1	5213218	GCF_900206255.1	5302738	
GCA_900207595.1	5213278	GCF_900207595.1	5302538	
GCA_900215305.1	5213578	GCF_900215305.1	5302898	
GCA_900215565.1	5214038	GCF_900215565.1	5302698	
GCA_900215595.1	5214098	GCF_900215595.1	5302638	
GCA_900215615.1	5214138	GCF_900215615.1	5302098	
GCA_900221035.1	5044698	GCF_900221035.1	5077958	
GCA_900230195.1	5214718	GCF_900230195.1	5302358	
GCA_900230275.1	5214858	GCF_900230275.1	5302298	
GCA_900236475.1	5882188	GCF_900236475.1	5899198	
GCA_900236505.1	5882208	GCF_900236505.1	5900218	
GCA_900290235.1	6323528	GCF_900290235.1	6371528	
GCA_900290435.1	8658828	GCF_900290435.1	8684698	
GCA_900460065.1	6757628	GCF_900460065.1	6852998	
GCA_900460115.1	6978928	GCF_900460115.1	7003318	
GCA_902506575.1	15730238	GCF_902506575.1	15856278	
GCA_904440635.1	24741678	GCF_904440635.1	24782228	
GCA_904440645.1	24741718	GCF_904440645.1	24782108	
GCA_907177275.1	33824388	GCF_907177275.1	33887958	
GCA_910593825.1	33824408	GCF_910593825.1	33888108	
GCA_913919575.1	30195898	GCF_913919575.1	30305198	
GCA_928722305.1	33654808	GCF_928722305.1	33696858	
GCA_940670765.1	33654868	GCF_940670765.1	33696978	
GCA_945929885.1	35884598	GCF_945929885.1	42133308	
GCA_947311705.1	37968298	GCF_947311705.1	38080538	
